ID,GAMMA,D_DIMENSION,P_NORM,NOISE,MEAN,SIGMA,K_SPECIES_MAX,ABUNDANCE_SPAWN,ABUNDANCE_DEATH,DEATH_RATE,ALPHA,BETA,DT_TIMESCALE,MEAN_INTERARRIVAL_TIME,SEED,WITH_RUNOUT,RUNOUT_SCALING,MONOD,MONOD_HALF_VELOCITY,MONOD_ALPHAMAX,MONOD_BETAMAX,save_at
0806_124033,[0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01],10,0.5,normal,0,0.01,2000,0.01,0.001,0.01,0.05,0.01,1,15,12345706,True,300,False,,,,100
0806_124128,[0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01],10,0.5,normal,0,0.01,2000,0.01,0.001,0.01,0.05,0.01,1,15,12345707,True,300,False,,,,100
0806_124226,[0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01],10,0.5,normal,0,0.01,2000,0.01,0.001,0.01,0.05,0.01,1,15,12345708,True,300,False,,,,100
0806_124328,[0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01],10,0.5,normal,0,0.01,2000,0.01,0.001,0.01,0.05,0.01,1,15,12345709,True,300,False,,,,100
0806_124433,[0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01],10,0.5,normal,0,0.01,2000,0.01,0.001,0.01,0.05,0.01,1,15,12345710,True,300,False,,,,100
0806_124538,[0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01],10,0.5,normal,0,0.01,2000,0.01,0.001,0.01,0.05,0.01,1,15,12345711,True,300,False,,,,100
0806_124634,[0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01],10,0.5,normal,0,0.01,2000,0.01,0.001,0.01,0.05,0.01,1,15,12345712,True,300,False,,,,100
0806_124730,[0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01],10,0.5,normal,0,0.01,2000,0.01,0.001,0.01,0.05,0.01,1,15,12345713,True,300,False,,,,100
0806_124826,[0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01],10,0.5,normal,0,0.01,2000,0.01,0.001,0.01,0.05,0.01,1,15,12345714,True,300,False,,,,100
0806_124928,[0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01],10,0.5,normal,0,0.01,2000,0.01,0.001,0.01,0.05,0.01,1,15,12345715,True,300,False,,,,100
0806_125028,[0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01],10,0.5,normal,0,0.01,2000,0.01,0.001,0.01,0.05,0.01,1,15,12345716,True,300,False,,,,100
0806_125137,[0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01],10,0.5,normal,0,0.01,2000,0.01,0.001,0.01,0.05,0.01,1,15,12345717,True,300,False,,,,100
0806_125307,[0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01],10,0.5,normal,0,0.01,2000,0.01,0.001,0.01,0.05,0.01,1,15,12345718,True,300,False,,,,100
0806_125413,[0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01],10,0.5,normal,0,0.01,2000,0.01,0.001,0.01,0.05,0.01,1,15,12345719,True,300,False,,,,100
0806_125519,[0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01],10,0.5,normal,0,0.01,2000,0.01,0.001,0.01,0.05,0.01,1,15,12345720,True,300,False,,,,100
0806_125616,[0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01],10,0.5,normal,0,0.01,2000,0.01,0.001,0.01,0.05,0.01,1,15,12345721,True,300,False,,,,100
0806_125714,[0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01],10,0.5,normal,0,0.01,2000,0.01,0.001,0.01,0.05,0.01,1,15,12345722,True,300,False,,,,100
0806_125832,[0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01],10,0.5,normal,0,0.01,2000,0.01,0.001,0.01,0.05,0.01,1,15,12345723,True,300,False,,,,100
0806_125933,[0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01],10,0.5,normal,0,0.01,2000,0.01,0.001,0.01,0.05,0.01,1,15,12345724,True,300,False,,,,100
0806_130026,[0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01],10,0.5,normal,0,0.01,2000,0.01,0.001,0.01,0.05,0.01,1,15,12345725,True,300,False,,,,100
0806_130119,[0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01],10,0.5,normal,0,0.01,2000,0.01,0.001,0.01,0.05,0.01,1,15,12345726,True,300,False,,,,100
0806_130227,[0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01],10,0.5,normal,0,0.01,2000,0.01,0.001,0.01,0.05,0.01,1,15,12345727,True,300,False,,,,100
0806_130337,[0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01],10,0.5,normal,0,0.01,2000,0.01,0.001,0.01,0.05,0.01,1,15,12345728,True,300,False,,,,100
0806_130450,[0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01],10,0.5,normal,0,0.01,2000,0.01,0.001,0.01,0.05,0.01,1,15,12345729,True,300,False,,,,100
0806_130557,[0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01],10,0.5,normal,0,0.01,2000,0.01,0.001,0.01,0.05,0.01,1,15,12345730,True,300,False,,,,100
0806_130717,[0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01],10,0.5,normal,0,0.01,2000,0.01,0.001,0.01,0.05,0.01,1,15,12345731,True,300,False,,,,100
0806_130832,[0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01],10,0.5,normal,0,0.01,2000,0.01,0.001,0.01,0.05,0.01,1,15,12345732,True,300,False,,,,100
0806_130934,[0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01],10,0.5,normal,0,0.01,2000,0.01,0.001,0.01,0.05,0.01,1,15,12345733,True,300,False,,,,100
0806_131039,[0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01],10,0.5,normal,0,0.01,2000,0.01,0.001,0.01,0.05,0.01,1,15,12345734,True,300,False,,,,100
0806_131151,[0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01],10,0.5,normal,0,0.01,2000,0.01,0.001,0.01,0.05,0.01,1,15,12345735,True,300,False,,,,100
0806_131240,[0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01],10,0.5,normal,0,0.01,2000,0.01,0.001,0.01,0.05,0.01,1,15,12345736,True,300,False,,,,100
0806_131327,[0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01],10,0.5,normal,0,0.01,2000,0.01,0.001,0.01,0.05,0.01,1,15,12345737,True,300,False,,,,100
0806_131414,[0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01],10,0.5,normal,0,0.01,2000,0.01,0.001,0.01,0.05,0.01,1,15,12345738,True,300,False,,,,100
0806_131500,[0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01],10,0.5,normal,0,0.01,2000,0.01,0.001,0.01,0.05,0.01,1,15,12345739,True,300,False,,,,100
0806_131546,[0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01],10,0.5,normal,0,0.01,2000,0.01,0.001,0.01,0.05,0.01,1,15,12345740,True,300,False,,,,100
0806_131640,[0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01],10,0.5,normal,0,0.01,2000,0.01,0.001,0.01,0.05,0.01,1,15,12345741,True,300,False,,,,100
0806_131738,[0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01],10,0.5,normal,0,0.01,2000,0.01,0.001,0.01,0.05,0.01,1,15,12345742,True,300,False,,,,100
0806_131846,[0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01],10,0.5,normal,0,0.01,2000,0.01,0.001,0.01,0.05,0.01,1,15,12345743,True,300,False,,,,100
0806_131954,[0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01],10,0.5,normal,0,0.01,2000,0.01,0.001,0.01,0.05,0.01,1,15,12345744,True,300,False,,,,100
0806_132056,[0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01],10,0.5,normal,0,0.01,2000,0.01,0.001,0.01,0.05,0.01,1,15,12345745,True,300,False,,,,100
0806_132143,[0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01],10,0.5,normal,0,0.01,2000,0.01,0.001,0.01,0.05,0.01,1,15,12345746,True,300,False,,,,100
0806_132231,[0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01],10,0.5,normal,0,0.01,2000,0.01,0.001,0.01,0.05,0.01,1,15,12345747,True,300,False,,,,100
0806_132333,[0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01],10,0.5,normal,0,0.01,2000,0.01,0.001,0.01,0.05,0.01,1,15,12345748,True,300,False,,,,100
0806_132441,[0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01],10,0.5,normal,0,0.01,2000,0.01,0.001,0.01,0.05,0.01,1,15,12345749,True,300,False,,,,100
0806_132545,[0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01],10,0.5,normal,0,0.01,2000,0.01,0.001,0.01,0.05,0.01,1,15,12345750,True,300,False,,,,100
0806_132644,[0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01],10,0.5,normal,0,0.01,2000,0.01,0.001,0.01,0.05,0.01,1,15,12345751,True,300,False,,,,100
0806_132750,[0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01],10,0.5,normal,0,0.01,2000,0.01,0.001,0.01,0.05,0.01,1,15,12345752,True,300,False,,,,100
0806_132856,[0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01],10,0.5,normal,0,0.01,2000,0.01,0.001,0.01,0.05,0.01,1,15,12345753,True,300,False,,,,100
0806_132954,[0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01],10,0.5,normal,0,0.01,2000,0.01,0.001,0.01,0.05,0.01,1,15,12345754,True,300,False,,,,100
0806_133107,[0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01],10,0.5,normal,0,0.01,2000,0.01,0.001,0.01,0.05,0.01,1,15,12345755,True,300,False,,,,100
0806_133202,[0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01],10,0.5,normal,0,0.01,2000,0.01,0.001,0.01,0.05,0.01,1,15,12345756,True,300,False,,,,100
0806_133300,[0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01],10,0.5,normal,0,0.01,2000,0.01,0.001,0.01,0.05,0.01,1,15,12345757,True,300,False,,,,100
0806_133355,[0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01],10,0.5,normal,0,0.01,2000,0.01,0.001,0.01,0.05,0.01,1,15,12345758,True,300,False,,,,100
0806_133448,[0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01],10,0.5,normal,0,0.01,2000,0.01,0.001,0.01,0.05,0.01,1,15,12345759,True,300,False,,,,100
0806_133538,[0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01],10,0.5,normal,0,0.01,2000,0.01,0.001,0.01,0.05,0.01,1,15,12345760,True,300,False,,,,100
0806_133627,[0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01],10,0.5,normal,0,0.01,2000,0.01,0.001,0.01,0.05,0.01,1,15,12345761,True,300,False,,,,100
0806_133717,[0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01],10,0.5,normal,0,0.01,2000,0.01,0.001,0.01,0.05,0.01,1,15,12345762,True,300,False,,,,100
0806_133804,[0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01],10,0.5,normal,0,0.01,2000,0.01,0.001,0.01,0.05,0.01,1,15,12345763,True,300,False,,,,100
0806_133904,[0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01],10,0.5,normal,0,0.01,2000,0.01,0.001,0.01,0.05,0.01,1,15,12345764,True,300,False,,,,100
0806_134004,[0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01],10,0.5,normal,0,0.01,2000,0.01,0.001,0.01,0.05,0.01,1,15,12345765,True,300,False,,,,100
0806_134108,[0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01],10,0.5,normal,0,0.01,2000,0.01,0.001,0.01,0.05,0.01,1,15,12345766,True,300,False,,,,100
0806_134209,[0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01],10,0.5,normal,0,0.01,2000,0.01,0.001,0.01,0.05,0.01,1,15,12345767,True,300,False,,,,100
