ID,strat_res0,strat_res1,strat_res2,strat_res3,strat_res4,strat_res5,strat_res6,strat_res7,strat_res8,strat_res9,alive_at_end
0,0.09248539226190247,0.10124149809006304,0.01594143802162144,0.2736854454741057,0.02455325059477829,0.06016241995599599,0.06166678061102461,0.3513048357951228,0.01416270838259728,0.18999483406282922,False
1,0.01801925618372699,0.3488963589418759,0.0648595134722699,0.0033090952508665695,0.199241721687019,0.000529439114320966,0.10955443569001379,0.17442059519058567,0.1352211310920677,0.13211708137669256,False
2,0.03659971281624854,0.0007810296152030965,0.14488628895840333,0.015542683633654162,0.0817204539832556,0.10550660375011404,0.11653999550100339,0.03859691335677309,0.007580712832354874,0.599161461029476,False
3,0.05371232181177887,0.26494864942161334,0.21519179354845516,0.21058429261540776,0.23412401934875193,0.0088554407884923,0.12294190754545145,0.003482533318088779,0.02022123094845916,0.053345435551984746,False
4,0.01060924270256374,0.013134335566442576,0.15475702884946366,0.023174041206770465,0.3899419781066962,0.2533976620830726,0.1717185248721257,0.13063199371140566,0.016877221125540128,0.004883360929768768,False
5,0.23886501297047943,0.15975723393328764,0.057225908034061294,0.09879227007497644,0.048651540076590165,0.09234823096432698,0.18922023943481114,0.08214305437936689,0.21205093734219474,0.03388009000549601,False
6,0.09818223708033766,0.09739144983735785,0.05964333521031392,0.0005161760933077448,0.06980633533874417,0.195512056100093,0.08768589296836242,0.4035460394514316,0.09526245318017643,0.08638404429940226,False
7,0.05737961492957406,0.020337133105607152,0.04522361511990908,0.6011282978833725,0.07440703138262018,0.010524026064162834,0.027445504781660624,0.1803818606808291,0.07935141639103632,0.055828755401308286,False
8,0.13482834647376532,0.1409373842484979,0.45226734313333355,0.16462850425892112,0.03715829410414729,0.024877436139891254,0.032569280158397496,0.08414748039067915,0.031203355779370653,0.08189158996331138,False
9,0.13469478028544815,0.007008235611811126,0.055159675515694534,0.12975872094246216,0.07341170203052805,0.26903672584586835,0.08540413369204422,0.033656533142501555,0.3040911720473175,0.10662605350244947,False
10,0.07950785419277222,0.025378624119958375,0.054623924772898846,0.013321698289024493,0.27345062073266735,0.3241914046704692,0.2537956634636759,0.08789075505670656,0.06389875065596931,0.004510181684815023,False
11,0.014284539041833464,0.0638998143822464,0.18775967773002933,0.24580600944676084,0.054278651236201444,0.020207170217820963,0.024609704968240262,0.3096789833075631,0.2410538835023154,0.020529478345494623,False
12,0.13136338149880772,0.026955713922105582,0.22814496477328441,0.03717287221817571,0.047247715815812705,0.3461605015443659,0.164839315952855,0.043901265740545675,0.00699979382778121,0.15679492826772568,False
13,0.009513764599360864,0.292112067741702,0.2195470373810602,0.05979027053906217,0.21490337386633881,0.0680473241673382,0.16577827134737608,0.09123047138444651,0.04254872420202085,0.034116025400815285,False
14,0.07279325064116765,0.020445207983172987,0.07282030660452243,0.08925594953472651,0.07940515129928426,0.13063345471576338,0.031158713526434408,0.2194389389259062,0.2906635097377605,0.19791753555196656,False
15,0.061828870651896434,0.19507067947651718,0.02813276851982306,0.14715176510265132,0.0735092020217097,0.03604972037517881,0.08197064541361145,0.2056343439961357,0.32008185821412155,0.05223256491386092,False
16,0.13291159203797429,0.04422968367701952,0.02589062594396518,0.034823402796423396,0.1727133613957071,0.23517125662761101,0.0199453599985388,0.27761540253066547,0.20386925532815137,0.04889740816355384,False
17,0.048281106108359624,0.15034781745012313,0.26735660225690056,0.038520445101447046,0.10750765516583907,0.2984485135932593,0.05162815221248252,0.013935636024246214,0.05865502906586369,0.1627140241063454,False
18,0.053944797898026496,0.12845227994020594,0.23826945453560047,0.1710572254148456,0.09788788733852626,0.05990524145759603,0.22470153513398777,0.13418078296272468,0.040687146061755476,0.06524079572819669,True
19,0.05295217349146224,0.03006760582213374,0.0011147037715590652,0.20806133084816755,0.18284245340624275,0.1338509012453584,0.24441465017815295,0.1635529239037987,0.07661296512099082,0.11111634956075593,False
