ID,strat_res0,strat_res1,strat_res2,strat_res3,strat_res4,strat_res5,strat_res6,strat_res7,strat_res8,strat_res9,ancestor,alive_at_end,DIST_TO_GEN,DIFF_MAX_MIN,DIST_TO_GAMMA,SKEWNESS
398,0.7139059996295405,0.3076751017926137,0.040987099849579774,0.0,0.4489747440931153,0.2941569631907553,0.17915594955279832,0.2716446557334073,0.0,0.0,0,False,0.7568776433373593,0.7139059996295405,0.7568776433373593,0.9557560140395076
399,0.0,0.35300947401581273,0.1957720241990413,0.0,0.0,0.6471393932761625,0.19109425150898715,0.5616071082574461,0.0,0.2575823644219038,14,False,0.7776076684391446,0.6471393932761625,0.7776076684391446,0.7813260480020181
400,0.0500926598509117,0.0,0.06637467528996735,0.0,0.0,0.34760139882964003,0.0,0.08434453610259605,0.9301313857034004,0.0,0,False,1.0319332600005273,0.9301313857034004,1.0319332600005273,2.5451527143963513
401,0.0,0.5389300259772966,0.13049040676523552,0.3195757755947037,0.4550109433949174,0.0,0.5617110370311568,0.0,0.19513788697470086,0.17252524983519316,192,False,0.7063581605784761,0.5617110370311568,0.7063581605784761,0.39966260010102317
402,0.32105187846815203,0.0,0.453659466764227,0.05435062211454205,0.02524010356028989,0.2402467777227345,0.41540649937710467,0.0,0.08745982841741998,0.6705202689535898,0,False,0.7520848896736244,0.6705202689535898,0.7520848896736244,0.7450581174906509
403,0.31167778123117823,0.0,0.0,0.727605052956483,0.0,0.41379715088489194,0.0,0.4496885205545604,0.0,0.0,0,False,0.8925152841473816,0.727605052956483,0.8925152841473816,1.0613841238015689
404,0.21377363601165295,0.0,0.20206696067563806,0.0,0.0,0.39926858392871467,0.0,0.0,0.56432032765007,0.6599976830551332,0,False,0.8427057556875944,0.6599976830551332,0.8427057556875944,0.8963553653662453
405,0.9874871689981721,0.0,0.0,0.0,0.1560809396400856,0.022535113601738453,0.0,0.0,0.0,0.0,0,False,1.1236064997017503,0.9874871689981721,1.1236064997017503,3.0285812854457883
406,0.23812606190421745,0.8358546727181693,0.0,0.0,0.0,0.0,0.0,0.3036890637468346,0.36928630785711336,0.1266630179927167,0,False,0.9027841491539215,0.8358546727181693,0.9027841491539215,1.7741695352915654
407,0.0,0.14215393990300007,0.4234683922783433,0.0,0.756111922478836,0.03937822509692968,0.02410060720421289,0.0653404783945389,0.0,0.4715513511807432,95,False,0.8856376868603199,0.756111922478836,0.8856376868603199,1.360725281319341
408,0.0,0.39542069577516936,0.3599398284705228,0.6908354682790097,0.0,0.17403026059959156,0.3526725930159032,0.03354719353003011,0.11068314859709973,0.26228131072377464,0,True,0.7036537976406215,0.6908354682790097,0.7036537976406215,0.8180571124018792
409,0.22471651448705712,0.39690200473580733,0.0,0.0,0.5408612004526682,0.09216509723559589,0.6767453400739404,0.18155381609358653,0.0,0.0,31,False,0.814651394983885,0.6767453400739404,0.814651394983885,0.9431346713238162
410,0.2051520343212274,0.0,0.0,0.45169168459141784,0.1664560876327961,0.17935762971103208,0.3204136049990488,0.7161341429789245,0.0,0.28017403061420054,16,False,0.7301340867847832,0.7161341429789245,0.7301340867847832,1.0394654940530512
411,0.0,0.37395564453999103,0.19447364527008035,0.4885598771249855,0.39821600531332524,0.012829263767566244,0.47483431111644225,0.08867021915221719,0.43769374681530154,0.0,0,True,0.6620574829434677,0.4885598771249855,0.6620574829434677,-0.13293310334257458
412,0.40292134136265095,0.0,0.0,0.31624852021375377,0.44977675662551575,0.3814562123541358,0.5764440389843312,0.0,0.0,0.23988656342619918,20,False,0.7093280957858847,0.5764440389843312,0.7093280957858847,0.05151628313362235
413,0.6805999784630284,0.11422409662954291,0.0,0.0,0.4012153253475898,0.5195354559419958,0.28523088517819717,0.10718693918161105,0.0,0.0,95,False,0.8165711038104678,0.6805999784630284,0.8165711038104678,0.9140465865380093
414,0.0,0.13625589651053188,0.0,0.4002839951829405,0.6216356002147047,0.4681769809833067,0.29587306491925136,0.0,0.10010664473849303,0.34354670428348627,0,True,0.7097089614066988,0.6216356002147047,0.7097089614066988,0.4113862026030192
415,0.13460216348922724,0.5011010397823549,0.0,0.2422935699780206,0.6251871254215186,0.0,0.08882834085959436,0.17469242118335004,0.21876974095256888,0.44152777257192266,179,False,0.6819303840166278,0.6251871254215186,0.6819303840166278,0.6724628473354485
416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6732540491670241,0.7394112423274386,95,False,1.0519277643842098,0.7394112423274386,1.0519277643842098,1.7909174787550715
417,0.75034513347544,0.18689748935958203,0.5277746163676669,0.0,0.0,0.03639626919620553,0.06248289593376821,0.05330134248075531,0.3397581929149723,0.0,0,False,0.873105028030774,0.75034513347544,0.873105028030774,1.380756719365268
418,0.28913334607069985,0.0,0.0,0.14124041129108897,0.0,0.2766008456015713,0.2243007697878284,0.6514707603414457,0.5875542866097625,0.0,0,False,0.792074171643168,0.6514707603414457,0.792074171643168,0.8979509280346009
419,0.8300304536340618,0.0,0.08982384312525928,0.12962796776240534,0.1868496864171982,0.0,0.4880893703169646,0.07055650705136156,0.0,0.08975217992965939,0,False,0.8988837966615543,0.8300304536340618,0.8988837966615543,1.9346513268081642
420,0.10643506936089722,0.008720692200321708,0.18314121692393182,0.0,0.4741791476079993,0.7167675006649583,0.0,0.0,0.4167210624083832,0.20687402522017603,0,True,0.8146922528115952,0.7167675006649583,0.8146922528115952,1.0762746519270734
421,0.0,0.4381245217057059,0.1640913157358216,0.7457166656781464,0.21879584492725715,0.21986235878265561,0.027511904167660545,0.0,0.0,0.3578541807388381,14,False,0.791412605237242,0.7457166656781464,0.791412605237242,1.2061014728883386
422,0.18894322645367378,0.35920055856996225,0.48404049459687404,0.4373742281883578,0.006336679839814939,0.6388678441570238,0.0,0.0,0.03862284554663344,0.0,16,True,0.7987985911763501,0.6388678441570238,0.7987985911763501,0.6175190402635029
423,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31,False,1.16942056932753,1.0,1.16942056932753,3.1622776601683795
424,0.22936964774161042,0.06239888195201866,0.0,0.8530174663495981,0.28301259234744297,0.06519851925367219,0.0,0.0,0.015390984434025517,0.36231655991218537,0,False,0.90380445564704,0.8530174663495981,0.90380445564704,1.954989673058428
