ID,strat_res0,strat_res1,strat_res2,strat_res3,strat_res4,strat_res5,strat_res6,strat_res7,strat_res8,strat_res9,ancestor,alive_at_end
0,0.06492201750755694,0.0459555459705491,0.013794687344882695,0.061867899727070685,0.09936763316056087,0.05919621110289016,0.09703330980675605,0.21848423876386805,0.3176605508250905,0.021717905790774965,0,False
1,0.1476382342145272,0.01809729702836441,0.19691847444298735,0.201112725893977,0.12214736981375618,0.0,0.05599019678400444,0.04149256295917155,0.0,0.21660313886321192,0,False
2,0.037210600738612806,0.13330460704748273,0.002309922372431021,0.18854738848831853,0.0,0.1281790228228857,0.16917089742976849,0.06582379245312152,0.17610462374912889,0.09934914489825014,1,False
3,0.0,0.17924372812407394,0.2026403057121046,0.02322085490674701,0.2493324439166783,0.03198175013829834,0.11395836328712709,0.0,0.1269762529378552,0.07264630097711547,2,False
4,0.026382475771395967,0.0,0.0,0.0,0.7200302519047417,0.2535872723238624,0.0,0.0,0.0,0.0,3,False
5,0.06669410425364604,0.11479684115871454,0.15969440896178158,0.0,0.09571674724944383,0.0,0.012436787123836066,0.25731856745923903,0.293342543793339,0.0,3,False
6,0.10734123345105843,0.0,0.0713644805718333,0.0,0.050807174892436004,0.18565944916539961,0.21774551895352945,0.28267667800473606,0.08440546496100704,0.0,5,False
7,0.0,0.0,0.31688471239194194,0.0,0.0,0.6831152876080582,0.0,0.0,0.0,0.0,6,False
8,0.22649852590928166,0.023367529211267297,0.25275010401021664,0.028729520105829864,0.0,0.0,0.19997200860698172,0.26868231215642285,0.0,0.0,7,False
9,0.0,0.13847516386877612,0.0,0.0,0.0,0.21528897854340254,0.08686199966333603,0.06615023644202017,0.27875986541842257,0.21446375606404264,7,False
10,0.2789779880486589,0.16846891830820485,0.0,0.0,0.09519736629451897,0.02468946636099505,0.19212511584357028,0.0,0.0,0.24054114514405184,9,True
11,0.0,0.0,0.5213422508074808,0.0,0.0,0.0,0.0,0.09692903906312231,0.22540586866240372,0.15632284146699316,10,False
12,0.0,0.3932700782886772,0.10665903547225193,0.0,0.40406390581822116,0.0,0.0011844992711140163,0.0,0.0,0.09482248114973572,11,True
13,0.07048680027839561,0.02259249787543524,0.3217130938510586,0.14958731905728648,0.0,0.25772638507111967,0.13739006021634045,0.0,0.0,0.040503843650364,12,True
14,0.0,0.0,0.0,0.0,0.10943139846439448,0.0,0.0,0.2747384173299061,0.48675540013239604,0.1290747840733034,11,False
15,0.09431337537060387,0.0,0.16233329843753747,0.14870741360822648,0.20440049200113053,0.0,0.10849579218431973,0.28174962839818196,0.0,0.0,13,False
16,0.4200259624257863,0.0,0.0,0.0,0.0,0.15810548576548158,0.28459704915124606,0.0,0.0,0.137271502657486,13,False
17,0.0,0.13316655538055203,0.11354256567435465,0.1353871684150245,0.05854191092600167,0.0,0.28133231088475036,0.0,0.27802948871931676,0.0,15,False
18,0.5420130886608804,0.10445046114775128,0.2650344489293985,0.0,0.0,0.0,0.0,0.0,0.08850200126196987,0.0,14,True
19,0.0,0.037510014757733794,0.35602311516249097,0.0,0.0,0.0,0.0,0.08737594601533456,0.2404983868066719,0.2785925372577689,13,False
20,0.0,0.0,0.0,0.532322283713067,0.15748781942594403,0.0,0.2998164725461233,0.010373424314865676,0.0,0.0,13,False
21,0.00647837801646185,0.0,0.07913694916258768,0.22626141850051879,0.08668206631070947,0.0,0.2641164452873138,0.1563639328517371,0.1809608098706713,0.0,12,False
22,0.0,0.7560191784535087,0.0,0.0,0.0,0.0,0.0,0.14041711850046543,0.10356370304602587,0.0,13,False
23,0.11760061057340497,0.0,0.0,0.11235836154378484,0.0,0.20395825736988277,0.22315413865983824,0.0,0.1501241202175252,0.19280451163556406,13,False
24,0.2680895243733782,0.0,0.047558741050227775,0.06851459334522261,0.16666491855225493,0.008415960283764274,0.0,0.3144424098362376,0.12631385255891467,0.0,16,False
25,0.0,0.0,0.0,0.11205195368802062,0.49253695966235805,0.0,0.3954110866496214,0.0,0.0,0.0,14,False
