time,AVG_DIST_TO_GEN,VAR_DIST_TO_GEN,AVG_DIFF_MAX_MIN,VAR_DIFF_MAX_MIN,AVG_DIST_TO_GAMMA,VAR_DIST_TO_GAMMA,AVG_SKEWNESS,VAR_SKEWNESS,K,BIOMASS
0.0,0.18871481765147963,0.0,0.1640838182268093,0.0,0.2694500597081112,0.0,0.48686649743716165,0.0,1.0,0.01
100.0,0.2902269159876927,0.009658836181326904,0.26859006883466474,0.0070574192759340305,0.3179897018334612,0.0041718190474388005,0.953541611050039,0.16808919371117303,6.0,610.1363405694648
200.0,0.2764960849280246,0.005760746827039988,0.25417515892905257,0.004508552648537894,0.3070105616492999,0.003460889875553812,0.8123918882848601,0.22593252921137744,12.0,130.0789928524416
300.0,0.29434357816955903,0.0055567956184842905,0.2742857289219697,0.004952544844255673,0.3215302743903102,0.004864172394713303,0.9999047624211936,0.28788873434054263,24.0,221.99002224269566
400.0,0.2844705635432248,0.004760764857765804,0.2649183202304683,0.004230089927054858,0.30337112204661415,0.0040468119826834945,0.9426067021837754,0.27045478441868714,31.0,169.87024819215947
500.0,0.2748618505892655,0.003479298515915048,0.2557683410781978,0.0032289943150143256,0.29740911768419964,0.0032687848360025977,0.9026435450481992,0.24986182769584106,31.0,158.90313373143593
600.0,0.2692922437354991,0.0039654585868397554,0.25299017737207097,0.0035659766410404735,0.29654200836772004,0.0031294170784695397,0.8877096148659032,0.24893661396957256,40.0,155.09662290589367
700.0,0.267489613359377,0.0038990861431197252,0.2522761245003083,0.0033551178760702015,0.2951912871541213,0.0029722161569192616,0.8886405196503826,0.23847667705730846,43.0,157.2722015718458
800.0,0.26943992035991243,0.003936388246328509,0.2556009220235903,0.0036506407949207236,0.29563945700161115,0.002779213842968045,0.9137759912070482,0.24595103866449253,48.0,161.05566651656036
900.0,0.26297943701382565,0.004074144006720469,0.24981073180356672,0.003705255412482842,0.2865111248572522,0.0025205729101057607,0.8709535851664535,0.23673904665855303,48.0,146.249070072671
