time,AVG_DIST_TO_GEN,VAR_DIST_TO_GEN,AVG_DIFF_MAX_MIN,VAR_DIFF_MAX_MIN,AVG_DIST_TO_GAMMA,VAR_DIST_TO_GAMMA,AVG_SKEWNESS,VAR_SKEWNESS,K,BIOMASS
0.0,0.021491302836622726,0.0,0.02039778173936317,0.0,0.021491302836622726,0.0,0.059100083234005354,0.0,1.0,0.01
100.0,0.0385475250407473,0.00019677747358311362,0.03514970545123197,0.00010209755952127445,0.0385475250407473,0.00019677747358311362,0.6710596978849102,0.15177221820346476,3.0,0.03149752555360444
200.0,0.04039394342932171,0.00035032756511275883,0.03768337163682482,0.000210736712174364,0.04039394342932171,0.00035032756511275883,0.795786878368025,0.1515482215483222,10.0,0.1662861465209345
300.0,0.050339667324435795,0.0005035533286082239,0.04607124612404007,0.0003146578014584068,0.050339667324435795,0.0005035533286082239,0.9422104228199065,0.1809019854308921,21.0,0.9939024496548539
400.0,0.06720556447356767,0.000639456322241216,0.059099957250315506,0.00040686958228384286,0.06720556447356767,0.000639456322241216,1.02079358249402,0.1135405007970049,29.0,13.55041173025728
500.0,0.07894462828300322,0.00048242394388285274,0.06837907277255219,0.00031302241320260585,0.07894462828300322,0.00048242394388285274,1.0846368756561378,0.06698047849602078,37.0,223.68505436448135
600.0,0.06550739552336476,0.0006124868386878458,0.058055926908406996,0.00038637135068684316,0.06550739552336476,0.0006124868386878458,0.9965617712419887,0.13702919696306018,42.0,213.68824762826802
700.0,0.05027748991138119,0.00036222862618936585,0.04652811365707824,0.00023338396019945232,0.05027748991138119,0.00036222862618936585,0.8706563429118371,0.20063721366430332,48.0,261.03456628120955
800.0,0.044338118506462534,0.00017193814449096193,0.04206180348333825,0.00012094084885521929,0.044338118506462534,0.00017193814449096193,0.7996812147359685,0.2134983537059982,51.0,325.8780606719309
900.0,0.0430652367420535,0.00012833045852494716,0.04107848116957502,9.576017183389754e-05,0.0430652367420535,0.00012833045852494716,0.7826617710628152,0.2184169545213596,57.0,207.69073513963917
1000.0,0.042744472776211594,0.00011669803734486253,0.040814619537075436,8.916596394746084e-05,0.042744472776211594,0.00011669803734486253,0.7742321868555008,0.21956433704799672,56.0,94.29900524645907
1100.0,0.04253468827704337,0.0001087434587284657,0.04063465020047377,8.46471228426674e-05,0.04253468827704337,0.0001087434587284657,0.7667064909299952,0.2198079614238206,58.0,42.85261739084096
1200.0,0.0424308502939554,0.00010169466367179999,0.040539826675128454,8.063683792028613e-05,0.0424308502939554,0.00010169466367179999,0.7598146333691035,0.22094139552731515,61.0,24.8151000319044
1300.0,0.042603417350853344,0.00010009308477274071,0.04064327712839353,7.930601307822507e-05,0.042603417350853344,0.00010009308477274071,0.7532557752070134,0.21964976740410877,61.0,21.998635789173903
1400.0,0.04302969853452418,0.00010215075544017083,0.0409282773597961,7.928460614802267e-05,0.04302969853452418,0.00010215075544017083,0.7488049522619973,0.2162291832787311,68.0,31.03407078730526
1500.0,0.04359950740357142,0.0001073330870326523,0.04129019857836852,8.040139072313658e-05,0.04359950740357142,0.0001073330870326523,0.7432945585826369,0.21356760987834122,76.0,62.299237202671826
1600.0,0.04378616582232444,0.00010662449874085915,0.041300363524946516,7.808347103241632e-05,0.04378616582232444,0.00010662449874085915,0.7302339188245791,0.2180716126900886,83.0,122.902965013592
1700.0,0.04378711452421955,0.00010099341220368502,0.041134551449562136,7.210365118859324e-05,0.04378711452421955,0.00010099341220368502,0.7154226385320099,0.22487845667188797,89.0,155.92845819093435
1800.0,0.044073666027746476,0.00010214447764875921,0.04111237491164381,6.872389991683253e-05,0.044073666027746476,0.00010214447764875921,0.7010804208175674,0.2291932977697526,96.0,132.44311711867823
1900.0,0.04452347397452998,0.00010679118365970047,0.041142831475770164,6.679245728846047e-05,0.04452347397452998,0.00010679118365970047,0.6800570673960731,0.2268793876768984,105.0,92.44804199705116
2000.0,0.045163671355586736,0.00011326777056753541,0.041280329279647796,6.577708395582323e-05,0.045163671355586736,0.00011326777056753541,0.6574752200197254,0.22037491194311012,111.0,62.608047649296886
2100.0,0.04601156148337485,0.00012041152355544346,0.04155578406416484,6.520134286754161e-05,0.04601156148337485,0.00012041152355544346,0.636479140688333,0.21107002800130722,111.0,47.39829905455673
2200.0,0.04696214502620604,0.00012720093107798698,0.041915653373593084,6.507303953542611e-05,0.04696214502620604,0.00012720093107798698,0.6168939902810885,0.19995894059613403,106.0,44.03381980870266
2300.0,0.047923279493940235,0.00013410165605944548,0.04233782413333783,6.608468859662445e-05,0.047923279493940235,0.00013410165605944548,0.6025379513904633,0.18831568347487243,106.0,50.98741809403057
2400.0,0.0488585757994237,0.00014391260459930245,0.0428438479898519,6.970583921346697e-05,0.0488585757994237,0.00014391260459930245,0.5986930113896417,0.17730843206111846,113.0,69.56152192716135
2500.0,0.04997970271021281,0.00016232053601012244,0.0436162174531024,7.852484519190227e-05,0.04997970271021281,0.00016232053601012244,0.6123203587402688,0.1675025349454504,115.0,98.26750244966168
2600.0,0.051618137937571876,0.00019144389575014896,0.044833288247035814,9.351123900967096e-05,0.051618137937571876,0.00019144389575014896,0.641825856745173,0.15722842986822017,122.0,120.53824331341877
2700.0,0.05325160920477219,0.00022398966111892267,0.046150316592114875,0.0001151833063113354,0.05325160920477219,0.00022398966111892267,0.6777096093343921,0.1542174349057321,122.0,108.8118826365341
2800.0,0.05445006258286592,0.00027032458346021564,0.04745218942236358,0.00015635833405778208,0.05445006258286592,0.00027032458346021564,0.7230349282970527,0.16729534923756662,122.0,76.86610395236183
