ID,strat_res0,strat_res1,strat_res2,ancestor,alive_at_end
0,0.5531702060242704,0.3854885470975732,0.4959214884135134,0,False
1,0.5573538802027846,0.39133499086850765,0.4862734575746284,0,False
2,0.5626187163534531,0.3940874306127104,0.4781158395795809,1,False
3,0.5517989231496779,0.38088017041291095,0.5014045708008639,0,False
4,0.5554623379456827,0.3874199940625802,0.4917845190535386,0,False
5,0.5500963787185981,0.379377611594133,0.5044927827499112,3,False
6,0.5649930323218838,0.3984724706376677,0.4715225816778743,1,False
7,0.5648227638900499,0.39492472334138445,0.4749568080899151,2,False
8,0.5519562506259548,0.40522156582185137,0.47944678392607964,2,False
9,0.5621288965692978,0.39097310642199345,0.48146306519272347,2,False
10,0.54870283916558,0.39290569581189205,0.4940576466858721,0,False
11,0.5684237244154208,0.38853120466972413,0.47682819585997627,2,False
12,0.5551831003881226,0.3988306379185144,0.48182871033968777,2,False
13,0.5462371919536051,0.37362712702724515,0.5134437100065948,3,False
14,0.5611291983483346,0.3849997068823037,0.48788368187232306,1,False
15,0.5797522764616935,0.39175415340230196,0.4613564204226766,2,False
16,0.5547436596151328,0.3867804768957698,0.4931145471208015,4,False
17,0.5599896708783373,0.4007165639273557,0.47491535711749255,2,False
18,0.5543635795530518,0.3863249863983522,0.4939205637353433,0,False
19,0.5632705014743612,0.3943510352775841,0.4771687619664644,2,False
20,0.5382886431994999,0.39523607194862787,0.5028600889628609,0,False
21,0.5673119481891263,0.385204892375588,0.4810283844035931,4,False
22,0.5546838932138837,0.38046358957772813,0.49873355778752493,4,False
23,0.5530956905632368,0.3967125557296609,0.4859828194797727,1,False
24,0.5642395002041163,0.36957756799400815,0.49805239785615113,3,False
25,0.5433095964503123,0.3761779195502701,0.5142793066712552,3,False
26,0.5633424573819205,0.3907191934392641,0.48037923358981355,2,False
27,0.5758719398501373,0.3848380746074457,0.47198286302121895,2,False
28,0.5477878240716465,0.3713942648327614,0.5137450333923974,0,False
29,0.5537963677056953,0.38867820048597773,0.49243586581710236,0,False
30,0.5594896988860621,0.3688733183496911,0.5036877632970458,3,False
31,0.5538368921464335,0.38692165009100343,0.4939505227163412,0,False
32,0.5482364668935593,0.37929247407580097,0.5065051167750021,0,False
33,0.5772122315161987,0.351951538161017,0.49916580214324174,0,False
34,0.54871017122684,0.37838497535522514,0.5067969759615889,3,False
35,0.561578980575728,0.400201555931929,0.47366042091717897,2,False
36,0.5436061196525862,0.3807461854121855,0.5100468841019188,3,False
37,0.5497206604962935,0.38880062869278054,0.49663238238408414,3,False
38,0.5506763546436408,0.39437565531022856,0.49065803013699016,3,False
39,0.5398120189999484,0.4007846464246758,0.4963252414233505,3,False
40,0.5524908020448238,0.40628022335665737,0.4778979416802956,2,False
41,0.5469523309488503,0.3745216158445569,0.5119412483742072,13,False
42,0.5470183001670433,0.39047082283320167,0.4979917094215216,4,False
43,0.56384540124461,0.38859139193042763,0.4817498587649447,3,False
44,0.5536358871049454,0.3673733476622855,0.51109630683226,3,False
45,0.5465504077362814,0.38008417221044233,0.5075718895999733,3,False
46,0.5485173404304851,0.3715700327802195,0.5128416229567986,0,False
47,0.5467588724789838,0.37391042027225063,0.512663494459484,5,False
48,0.5572899859338575,0.36040998560422044,0.5131604239817921,3,False
49,0.5447352259331814,0.37507383971876085,0.5137564783728306,3,False
50,0.5561994347213541,0.38056598009850534,0.49704330516179995,3,False
51,0.5364031285419478,0.37501031733502593,0.5223218848017382,3,False
52,0.5466448799532078,0.38669617093374264,0.501710401639684,3,False
53,0.5501394546672574,0.37863627800770006,0.5050901784915323,3,False
