ID,strat_res0,strat_res1,strat_res2,strat_res3,strat_res4,strat_res5,strat_res6,strat_res7,strat_res8,strat_res9,ancestor,alive_at_end,DIST_TO_GEN,DIFF_MAX_MIN,DIST_TO_GAMMA,SKEWNESS
464,0.14925616442486916,0.009073536398358535,0.0,0.4688341276458552,0.33727044434659265,0.15907764749139952,0.0,0.0,0.0025386928771360174,0.0,13,False,0.50553952304724,0.4688341276458552,0.5989710444233973,1.418343376215081
465,0.0,0.0,0.794143037796325,0.0,0.0,0.0,0.04901092112310904,0.03247101845622054,0.0,0.1939940913373766,346,False,0.7483375851958919,0.794143037796325,0.8581479825968964,2.8588382768226333
466,0.0,0.26971063579743804,0.0066442479021496595,0.0,0.0,0.05508950211660956,0.499163320593738,0.0,0.28616117766823906,0.0,143,True,0.5324520629808911,0.499163320593738,0.6943520801254001,1.4795648762777993
467,0.0,0.0,0.0,0.2294394024102138,0.0,0.36819368116945767,0.17892447152946508,0.2625442333806027,0.0,0.11028677419559883,43,True,0.41219262452283034,0.36819368116945767,0.3484653199454794,0.734346379052524
468,0.1939853648769575,0.0,0.0,0.23249408522093287,0.0,0.022250075516736384,0.3721229477446212,0.17447070503617645,0.015132432673841793,0.15172075279821617,43,True,0.3870098447547278,0.3721229477446212,0.581850181317461,0.8108997748591241
469,0.15301724022169516,0.32643759160457403,0.0,0.17288963298392,0.2436380074957371,0.0,0.1578449683977721,0.0,0.1159321038040928,0.0,143,True,0.34805980501655553,0.32643759160457403,0.518668796021051,0.45665082306554594
470,0.12072406809080949,0.21643861118097846,0.0,0.0,0.0,0.0,0.4031809789950019,0.27799160833652525,0.12753521599006754,0.0,43,True,0.4324049156872945,0.4031809789950019,0.5530237765784769,1.0236311638102285
471,0.20774604298533728,0.0,0.0,0.0,0.27533641117663404,0.2922869679617653,0.0,0.0,0.12716137776073483,0.25092360433641786,43,True,0.38873835490043185,0.2922869679617653,0.5136810633338039,0.33689569692207993
472,0.0,0.0,0.0132352004476768,0.09747855028335438,0.4668944898408148,0.3364718450251069,0.0,0.21012980293099673,0.0,0.0,13,True,0.5097361559724988,0.4668944898408148,0.4901436387058724,1.3865173491033966
473,0.33107820383845743,0.0,0.08121995023742268,0.17802571200845807,0.0,0.5233873777421028,0.0,0.0,0.0,0.0,39,True,0.5470109796506427,0.5233873777421028,0.4665358647122156,1.6735949244817758
474,0.004202994279188614,0.152323234220939,0.4134890174995805,0.0,0.34518357478508443,0.04559583501838498,0.17715344054093812,0.0,0.0,0.0,43,False,0.4671351096353124,0.4134890174995805,0.6169562187740047,1.187870397223585
475,0.10596326090122214,0.1320682648625859,0.10602907566709549,0.0884419866025563,0.0,0.27627590049428313,0.0,0.3784592764475392,0.08568889243265085,0.0,43,True,0.37070219825676703,0.3784592764475392,0.1887817370645904,1.2516032790637441
476,0.0,0.028754468394611977,0.18753884560341008,0.2793978026769289,0.0,0.13081438308957666,0.0,0.4431659935145121,0.07746785698100626,0.0,43,True,0.4502357676420089,0.4431659935145121,0.4013721367225571,1.3866524536250724
477,0.11322488893953088,0.12908419605902155,0.0,0.0,0.029751260209576077,0.27700150399555146,0.14328436086437596,0.32625723866471357,0.155965647150745,0.0,43,True,0.34752758892126506,0.32625723866471357,0.2805514197915556,0.6912287539991953
478,0.05101491959910715,0.12909241873215999,0.17088868185496475,0.20705411756503206,0.22991499758942388,0.0,0.0,0.13569632868672374,0.0811316276620395,0.19340106120778816,43,False,0.25130776425189527,0.22991499758942388,0.45614937761320506,-0.30550909395442777
479,0.059700716398258094,0.0,0.0,0.36253588536596837,0.5431414658174614,0.05813522498457334,0.0,0.0,0.0,0.09224635008012529,13,False,0.5645946952476346,0.5431414658174614,0.7102506012837456,1.865193658401626
480,0.044246481155338344,0.0,0.246230922828946,0.39452161631278454,0.19381265460908872,0.0,0.0,0.05059840356275306,0.00788831325139827,0.21800595841085357,43,False,0.4160235079643815,0.39452161631278454,0.5960730819583089,0.9944451228530027
481,0.5285856532989469,0.0,0.38125086188975377,0.0,0.0,0.0,0.14412587388616463,0.052516588110174275,0.0,0.0,36,False,0.5722347250507248,0.5285856532989469,0.713097879992031,1.7041418554376895
482,0.0,0.23440795441557463,0.18104448728565545,0.29902652990104034,0.08800999018903667,0.0,0.0028848108687838537,0.34380813201570554,0.0,0.0,13,False,0.41441193112125424,0.34380813201570554,0.40890921949063314,0.6749391675507256
483,0.1631063544353329,0.03989248355888099,0.036520601265121695,0.001030441885580151,0.21052283187797363,0.11140789101123635,0.23784055810918606,0.14956372241127663,0.0,0.24094484966692797,18,True,0.28569624806217764,0.24094484966692797,0.4915961408184764,-0.00500317645228808
484,0.0,0.3126874094228029,0.0,0.24736628921359377,0.10086728248153948,0.310845304901479,0.0,0.04341691565019312,0.0,0.14333659387036438,143,True,0.39310120173495944,0.3126874094228029,0.32061077991128883,0.6661284959280221
485,0.1348220428686787,0.07498108130106436,0.15672568313693505,0.0,0.10259085761522135,0.1686803265416489,0.13776362149172994,0.4007258938231803,0.0,0.0,43,True,0.35896274353666924,0.4007258938231803,0.333140840804707,1.4591594445673326
486,0.0,0.0,0.5161998618865095,0.3248907756836422,0.07960521327679478,0.009233048204965988,0.1878246111656991,0.0,0.0,0.0,43,False,0.5386130256839947,0.5161998618865095,0.6855149506775524,1.647370935284776
487,0.14959134863373277,0.0,0.0,0.23126026635538127,0.12485851272733006,0.5326920974613853,0.0,0.06915398413679906,0.0,0.0311339525111997,43,True,0.5021812575624675,0.5326920974613853,0.39588476707345344,2.041166489435813
488,0.0,0.0,0.0,0.0,0.0,0.40244303998511444,0.0,0.0,0.2465215438497178,0.45275271885124424,13,False,0.5550312494412442,0.45275271885124424,0.6175088275732183,1.2904503635717282
489,0.05013134337208217,0.0,0.0,0.43802263638524047,0.0,0.007687891535389152,0.17506605202410755,0.0,0.19496840047380487,0.2754853314299702,39,False,0.4577721727025788,0.43802263638524047,0.672689064890122,1.2394077043838465
490,0.0,0.0,0.0,0.2256377573996802,0.3094373522473715,0.03741056431907704,0.0,0.31354866180921626,0.08493469499071166,0.1867122311197896,34,False,0.3936926978337327,0.31354866180921626,0.5150479002530869,0.6159145841316936
