ID,strat_res0,strat_res1,strat_res2,strat_res3,strat_res4,ancestor,alive_at_end,DIST_TO_GEN,DIFF_MAX_MIN,DIST_TO_GAMMA
0,0.09190598589333349,0.2517091362259518,0.2824421214255635,0.047146507889003306,0.17645560713178848,0,False,0.20146681484215107,0.2352956135365602,0.41548002736636164
1,0.2577678144066588,0.09179252164569329,0.29647091554325,0.08808210351447611,0.11355324073142811,0,True,0.19933951906360517,0.2083888120287739,0.3097795551514559
2,0.0,0.47259050070909164,0.2680916013398436,0.03336904135962834,0.11068055008902476,0,False,0.3905106992018049,0.47259050070909164,0.6022612863583828
3,0.26572894411793174,0.0,0.18890815863768895,0.028895175425454743,0.3938012011184625,1,True,0.3295561075744622,0.3938012011184625,0.29697419806517444
4,0.21956167057919168,0.20621092913749478,0.23718735181087347,0.0,0.19451815171252834,0,False,0.19458109851766767,0.23718735181087347,0.3330003358703386
5,0.22114993926256965,0.049207154431095294,0.25741861711937886,0.019372554026358797,0.31419402486530484,3,False,0.2615912297453548,0.29482147083894605,0.3147487703837173
6,0.2826389635093104,0.1026836583299496,0.1845886073258729,0.0,0.2935185324437069,3,False,0.2483955439570391,0.2935185324437069,0.2634397279646536
7,0.16677260552472736,0.11674992330215905,0.19803593927253205,0.14333693240913795,0.2132420855855475,1,False,0.07864709574313032,0.09649216228338844,0.23497709502083855
8,0.275537485275582,0.0,0.48410978235860036,0.0,0.13599110616238824,1,False,0.41115510467124955,0.48410978235860036,0.5024438011187706
9,0.2453259232872646,0.0,0.2674658120259039,0.028298291646017083,0.33336568297205155,3,False,0.30168460833437927,0.33336568297205155,0.3223394530080544
10,0.16562432335368252,0.061676997017338926,0.21277244543632381,0.24878732955614458,0.15425179913444845,1,True,0.1415552236013143,0.18711033253880566,0.24780996042124653
11,0.3742189251043104,0.059036413620775614,0.36144577570307107,0.0,0.08487759232843103,1,False,0.35639314487617485,0.3742189251043104,0.40814905877100993
12,0.3612295056192246,0.09001037355817436,0.011761613167889151,0.1651693933361243,0.23290131072264983,3,True,0.26848661087757597,0.34946789245133547,0.06619317453019638
13,0.1356312338446647,0.11294930951628343,0.3682611102154709,0.0037935713792397693,0.24338669546335973,0,False,0.2772518111598341,0.3644675388362312,0.42935578012051306
14,0.40136337738729777,0.09486817791237398,0.3198022572091041,0.061926953560524814,0.0,1,False,0.3498369366302209,0.40136337738729777,0.3945913999014595
15,0.24462714113405792,0.023833603412072232,0.3971611456638481,0.04438492302887664,0.15573846964865867,1,False,0.30764094328925434,0.37332754225177583,0.4061255552134148
16,0.451351411928516,0.1047163304451296,0.21646331215847747,0.10167955131947375,0.0,1,True,0.3454244530538618,0.451351411928516,0.3318278105894178
