ID,strat_res0,strat_res1,strat_res2,strat_res3,strat_res4,ancestor,alive_at_end,DIST_TO_GEN,DIFF_MAX_MIN,DIST_TO_GAMMA,SKEWNESS
0,0.20282336229286727,0.15688245706698267,0.197492897635609,0.13066885918612867,0.149558743067109,0,False,0.06275940454559129,0.0721545031067386,0.27888974665961447,0.19277950852487064
1,0.1810443825350964,0.0,0.4399257702653186,0.14335466195431218,0.10678092161697743,0,False,0.3267145626177658,0.4399257702653186,0.3893674800166549,1.259713148861375
2,0.1619712847662301,0.0,0.3872527559563607,0.1317022132552116,0.18462062223328202,1,False,0.2792257358140542,0.3872527559563607,0.37504267343435105,0.7007630634827947
3,0.0,0.07249142003921884,0.43773164186368324,0.26050516164162946,0.10568137765069269,1,False,0.3501417904670133,0.43773164186368324,0.5140861672262378,0.9267636806399672
4,0.23727656555433352,0.08044869460397526,0.2106742848561427,0.16067357838345697,0.15191778608471038,0,False,0.12083947685684134,0.15682787095035827,0.21504883919145054,-0.5181209293729852
5,0.10317510353994237,0.07029917062273607,0.5067685002259936,0.16753011766192127,0.02498013311452372,1,False,0.3860293332191476,0.4817883671114699,0.493488507021018,1.8489703692864181
6,0.22210537682997353,0.0,0.4296695773307584,0.11733526079831658,0.1026714254712032,1,False,0.3263549727812112,0.4296695773307584,0.3648366697377257,1.0487431702443955
7,0.3899380843509452,0.20577287322868487,0.16711955162847655,0.0,0.1042312677275676,0,False,0.2881283084005051,0.3899380843509452,0.29573567257898925,0.64871293659085
8,0.23601708803941163,0.17494572081539927,0.10692486257262517,0.11620465639319327,0.20597856688530147,0,False,0.11194992694681893,0.12909222546678645,0.2817250347227496,0.005882755372577887
9,0.2848757265989766,0.05036118026680864,0.23755136887471678,0.12959894805451544,0.14497165920907967,0,False,0.1853510501786877,0.23451454633216795,0.19477411621993035,0.044299854741485505
10,0.14689058594614102,0.0,0.4956196466743188,0.23231979464232064,0.014077996114571029,1,False,0.40485727402603755,0.4956196466743188,0.45440215507225373,1.1225799574190447
11,0.33053771349520195,0.12741469732911195,0.17923738456997282,0.07257488073095844,0.13688714702277224,7,False,0.19564943870717344,0.2579628327642435,0.21145138770492306,1.4151538392089875
12,0.30472190853100833,0.3159962088661821,0.20890610240174226,0.0,0.04221238465772851,7,False,0.2938811736569891,0.3159962088661821,0.400030502700441,-0.33141082472111
13,0.17977179957052064,0.05428389999794783,0.12560761551346777,0.07727640780167758,0.42150232291790085,4,False,0.2956208809450951,0.367218422919953,0.42404485779036954,1.6844248531314323
