STARTTIME,GAMMA,D_DIMENSION,P_NORM,K_SPECIES_MAX,ABUNDANCE_SPAWN,ABUNDANCE_DEATH,DEATH_RATE,ALPHA,BETA,DT_TIMESCALE,SEED,MONOD,MONOD_HALF_VELOCITY,MONOD_ALPHAMAX,MONOD_BETAMAX,save_every
1204_154711,"[0.07742637 0.07742637 0.07742637 0.07742637 0.07742637 0.07742637
 0.07742637 0.07742637 0.07742637 0.07742637]",10,0.9,500,0.01,0.001,0.1,0.05,0.01,0.1,123479,False,,,,1000
1204_154741,"[0.07742637 0.07742637 0.07742637 0.07742637 0.07742637 0.07742637
 0.07742637 0.07742637 0.07742637 0.07742637]",10,0.9,500,0.01,0.001,0.1,0.05,0.01,0.1,123480,False,,,,1000
1204_154818,"[0.07742637 0.07742637 0.07742637 0.07742637 0.07742637 0.07742637
 0.07742637 0.07742637 0.07742637 0.07742637]",10,0.9,500,0.01,0.001,0.1,0.05,0.01,0.1,123481,False,,,,1000
1204_154856,"[0.07742637 0.07742637 0.07742637 0.07742637 0.07742637 0.07742637
 0.07742637 0.07742637 0.07742637 0.07742637]",10,0.9,500,0.01,0.001,0.1,0.05,0.01,0.1,123482,False,,,,1000
1204_154933,"[0.07742637 0.07742637 0.07742637 0.07742637 0.07742637 0.07742637
 0.07742637 0.07742637 0.07742637 0.07742637]",10,0.9,500,0.01,0.001,0.1,0.05,0.01,0.1,123483,False,,,,1000
1204_154958,"[0.07742637 0.07742637 0.07742637 0.07742637 0.07742637 0.07742637
 0.07742637 0.07742637 0.07742637 0.07742637]",10,0.9,500,0.01,0.001,0.1,0.05,0.01,0.1,123484,False,,,,1000
1204_155017,"[0.07742637 0.07742637 0.07742637 0.07742637 0.07742637 0.07742637
 0.07742637 0.07742637 0.07742637 0.07742637]",10,0.9,500,0.01,0.001,0.1,0.05,0.01,0.1,123485,False,,,,1000
1204_155038,"[0.07742637 0.07742637 0.07742637 0.07742637 0.07742637 0.07742637
 0.07742637 0.07742637 0.07742637 0.07742637]",10,0.9,500,0.01,0.001,0.1,0.05,0.01,0.1,123486,False,,,,1000
1204_155055,"[0.07742637 0.07742637 0.07742637 0.07742637 0.07742637 0.07742637
 0.07742637 0.07742637 0.07742637 0.07742637]",10,0.9,500,0.01,0.001,0.1,0.05,0.01,0.1,123487,False,,,,1000
1204_155113,"[0.07742637 0.07742637 0.07742637 0.07742637 0.07742637 0.07742637
 0.07742637 0.07742637 0.07742637 0.07742637]",10,0.9,500,0.01,0.001,0.1,0.05,0.01,0.1,123488,False,,,,1000
