ID,strat_res0,strat_res1,strat_res2,strat_res3,strat_res4,ancestor,alive_at_end
0,0.3129094393588776,0.3779012033990528,0.014723479395400746,0.722744088375842,0.48652087838234337,0,False
1,0.1994490170861236,0.5073282682672852,0.1367849676627449,0.6233075982368134,0.5437054610743338,0,False
2,0.3308531509643379,0.5957528430878912,0.16038804616202954,0.4561171230869778,0.5494065772493528,0,False
3,0.31568250718231367,0.7021970875292181,0.20411974558317236,0.4122675976021562,0.44230573402905327,2,False
4,0.3675762505044258,0.6628665350711612,0.15676958608947675,0.5026988106717019,0.38498423263096304,2,False
5,0.32342791830757317,0.656592241602786,0.1486008545536028,0.34258365584613165,0.5699431855012361,2,False
6,0.0951813259921993,0.5278161985916535,0.18157909864709496,0.6994812577374553,0.4360109823102614,1,False
7,0.25643387931720957,0.7102076530298088,0.21820339623152948,0.42698087348384967,0.4471256721193855,2,False
8,0.274635392729116,0.551974636063778,0.18700563119204572,0.4392338804701269,0.6261005465198084,2,False
9,0.3424958524079114,0.6073717532071443,0.0,0.3725335955581496,0.6123845725277335,2,False
10,0.41783498024148275,0.44378864319522693,0.07327771826467945,0.5454435343167283,0.5706025730186797,2,False
11,0.45966380476915863,0.6858111305910992,0.06159058170757938,0.4284954969719432,0.3618984513122268,2,False
12,0.3518017207845188,0.6023004245961421,0.1575363506908426,0.3854655032368504,0.5831538320286783,3,False
13,0.41038023442748967,0.5683050380465762,0.14615350460478715,0.43689384268273534,0.5444082753226389,2,False
14,0.21722112637665922,0.7687722003020492,0.3643032750920301,0.41153822692509157,0.24438432403690308,3,False
15,0.22596879064319086,0.6093652664509607,0.0,0.49675916423017036,0.57518902149793,2,False
16,0.2576294786766009,0.8454144067709448,0.359149740648264,0.25800377415724524,0.15279741114906492,14,False
17,0.1093568577250266,0.818594935601444,0.3147976623559106,0.45094828318216595,0.12446480123507633,14,False
18,0.5521156875756709,0.5936315566687171,0.20844296700193665,0.3530051420834969,0.4179817479627067,3,False
19,0.20971497032958306,0.6764815456150453,0.12538974536172037,0.5276323671519599,0.45196664318695434,3,False
20,0.3866352732523681,0.6197151400949984,0.22404360038425453,0.39367852977068357,0.5111633701064235,3,False
21,0.27326368004624496,0.6602638808742826,0.14289878582375887,0.5119050315776509,0.45487552631021444,3,False
22,0.10594008471763319,0.6702909268661703,0.21867325724560696,0.6407881807712158,0.28470912482817157,3,False
23,0.17498295445460527,0.6348261791179087,0.20362977997534878,0.421731393427137,0.5891130897052711,3,False
24,0.1673870757695702,0.8119719322955978,0.21826054808525416,0.36453190660218293,0.3635408783726626,14,False
